alimento;peso;calorias;proteina;carbo;gordura
Arroz;100;1.24;0.026;0.231;0.01
Feijão;100;0.76;0.048;0.136;0.005
Peito de frango;100;1.63;0.315;0;0.032
Creme de ricota;100;1.47;0.09;0.027;0.11
Cenoura;100;0.34;0.013;0.077;0.002
Pão integral;100;2.56;0.11;0.47;0.028
Morango;100;0.33;0.007;0.08;0.003
Whey protein;30;4.066666667;0.666666667;0.18;0.076666667
Aveia;20;2.46;0.173;0.662;0.0705
YoPro;1;157.5;15;18.75;2.25
Ovo;1;73;6.65;0.3;4.75
Almoço;1;432.4;42.18;44.58;7.2
Jantar;1;451.4;43.85;35.49;11.65
Shake sem aveia;1;188;21.4;21.4;2.9
Shake com aveia;1;237.2;24.86;34.64;4.31
Sanduíche duplo;1;276.8625;25.9875;31.17375;5.1375
Sanduíche triplo;1;369.15;34.65;41.565;6.85
Whey Viv;1;142;19;13;3.3
Amendoim;100;5.67;0.26;0.06;0.49
